,Long,Lat,Code,Campground,Type,City,State
,34.608,-93.831,SHIR,Shirley Creek,NF,Oden,AR
,35.309,-93.43,SHOA,Shoal Bay - Lake Dardanelle,COE,Dardanelle,AR
,35.641,-93.96,SHOR,Shores Lake,NF,Mulberry,AR
,34.287,-93.27,SHOU,Shouse Ford - De Gray Lake,COE,Bismarck,AR
,34.874,-93.687,SOUT,South Fourche,NF,Bluffton,AR
,35.424,-93.479,SPAD,Spadra - Lake Dardanelle,COE,Clarksville,AR
,35.343,-94.298,SPRH,Spring Hill,COE,Van Buren,AR
,35.15,-93.425,SPRL,Spring Lake,NF,Belleville,AR
,34.239,-93.825,STAR,Star of the West, ,Kirby,AR
,36.392,-93.878,STAK,Starkey - Beaver Lake,COE,Eureka Springs,AR
,36.039,-93.336,STEE,Steel Creek - Buffalo National River,NP,Ponca,AR
,34.568,-93.192,STEP,Stephens - Lake Ouachita,COE,Hot Springs,AR
,34.6,-90.613,STOR,Storm Creek Lake,NF,West Helena,AR
,35.543,-92.272,SUGA,Sugar Loaf - Greers Ferry Lake,COE,Choctaw,AR
,35.169,-93.012,SWEE,Sweeden Island - Lake Dardanelle,COE,Atkins,AR
,34.462,-92.114,TAR,Tar Camp,COE,Redfield,AR
,35.078,-92.544,TOAD,Toad Suck Ferry,COE,Conway,AR
,34.569,-93.47,TOMP,Tompkins Bend - Lake Ouachita,COE,Mount Ida,AR
,34.212,-91.836,TRUL,Trulock - Arkansas River,COE,Pine Bluff,AR
,36.475,-93.008,TUCK,Tucker Hollow - Bull Shoals Lake,COE,Lead Hill,AR
,34.55,-93.511,TWIN,Twin Creek - Lake Ouachita,COE,Mount Ida,AR
,35.987,-92.761,TYLE,Tyler Bend - Buffalo National River,NP,St Joe,AR
,35.171,-90.727,VILL,Village Creek State Park,SP,Wynne,AR
,35.486,-94.063,VINE,Vine Prairie,COE,Mulberry,AR
,36.219,-94.016,WAR,War Eagle - Beaver Lake,COE,Springdale,AR
,34.65,-93.531,WASH,Washita - Lake Ouachita,COE,Story,AR
,35.107,-93.658,WAVE,Waveland - Blue Mountain Lake,COE,Waveland,AR
,33.761,-94.059,WHICH,White Cliffs - Millwood Lake,COE,Mineral Springs,AR
,33.689,-93.117,WHIT,White Oak Lake State Park,SP,Bluff City,AR
,35.691,-93.957,WHIR,White Rock,NF,Mulberry,AR
,33.979,-91.309,WILB,Wilbur D Mills,COE,Dumas,AR
,34.701,-92.138,WILL,Willow Beach,COE,Scott,AR
,36.155,-93.733,WITH,Withrow Springs State Park,SP,Huntsville,AR
,35.674,-93.633,WOLF,Wolf Pen,NF,Oark,AR
,36.295,-92.175,WOOD,Woods Pt, ,Mountain Home,AR
,35.281,-92.285,WOOL,Woolly Hollow State Park,SP,Greenbrier,AR
,27.781,-82.146,ALAF,Alafia River State Park,SP,Lithia,FL
,29.079,-81.578,ALEX,Alexander Springs,NF,Altoona,FL
,29.881,-81.286,ANAS,Anastasia State Park,SP,Saint Augustin,FL
,27.705,-81.447,ARBU,Arbuckle - Lake Wales Ridge SF,SF,Frostproof,FL
,27.688,-81.36,AVON,Avon Park AF Range  Military,MIL,Avon Park,FL
,24.66,-81.274,BAHI,Bahia Honda State Park,SP,Big Pine Key,FL
,26.226,-81.267,BEAR,Bear Island - Big Cypress WMA,SFW,Immokalee,FL
