,Lat,Long,Code,Campground,Type,City,State
,38.761,-106.662,LODA,Lodgepole - Almont,NF,Almont,CO
,39.423,-105.843,LODJ,Lodgepole - Jefferson,NF,Jefferson,CO
,39.252,-105.235,LONE,Lone Rock,NF,Woodland Park,CO
,40.515,-105.767,LOND,Long Draw,NF,Gould,CO
,40.275,-105.559,LONP,Longs Peak - Rocky Mountain National Park,NP,Estes Park,CO
,38.87,-107.208,LOSL,Lost Lake,NF,Paonia,CO
,39.122,-106.625,LOSM,Lost Man,NF,Aspen,CO
,39.285,-105.507,LOSP,Lost Park,NF,Jefferson,CO
,37.768,-107.349,LOST,Lost Trail,NF,Creede,CO
,38.776,-106.627,LOTT,Lottis Creek,NF,Almont,CO
,37.616,-106.676,LOWB,Lower Beaver Creek,NF,South Fork,CO
,40.691,-105.431,LOWN,Lower Narrows,NF,Fort Collins,CO
,37.242,-107.343,LOWP,Lower Piedra,NF,Pagosa Springs,CO
,39.623,-106.031,LOWR,Lowry,NF,Dillon,CO
,38.181,-106.584,LUDE,Luders Creek,NF,Saguache,CO
,40.078,-106.699,LYNX,Lynx Pass,NF,Toponas,CO
,37.4,-108.27,MAIN,Main - Mancos State Park,SP,Dolores,CO
,37.789,-106.986,MARS,Marshall Park,NF,Creede,CO
,40.007,-107.426,MARV,Marvine,NF,Buford,CO
,40.347,-105.531,MARY,Marys Lake - USBR,BOR,Estes Park,CO
,39.258,-106.36,MATC,Matchless,NF,Leadville,CO
,37.845,-107.881,MATT,Matterhorn,NF,Telluride,CO
,37.651,-108.297,MAVR,Mavreeso,NF,Dolores,CO
,40.501,-108.033,MABB,Maybell Bridge - Yampa River State Park,SP,Craig,CO
,40.517,-108.086,MAYB,Maybell City Park,CP,Maybell,CO
,39.278,-106.431,MAYQ,Mayqueen,NF,Leadville,CO
,38.059,-107.872,MCC1,McClure,NF,,CO
,39.124,-107.313,MCC2,McClure,NF,Redstone,CO
,39.851,-106.238,MCDO,Mcdonald Flats,NF,Silverthorne,CO
,37.497,-108.553,MCPH,Mcphee,NF,Dolores,CO
,39.817,-107.543,MEAL,Meadow Lake,NF,Buford,CO
,40.223,-105.274,MEAD,Meadow Park,CP,Lyons,CO
,38.978,-104.986,MEAR,Meadow Ridge,NF,Woodland Park,CO
,40.373,-106.724,MEAD,Meadows,NF,Steamboat Springs,CO
,40.036,-107.91,MEEK,Meeker City Park,CP,Meeker,CO
,40.242,-105.534,MEEK,Meeker Park Overflow,NF,Estes Park,CO
,39.51,-105.535,MERI,Meridian,NF,Bailey,CO
,39.411,-105.883,MICH,Michigan Creek,NF,Jefferson,CO
,37.409,-107.536,MIDM,Middle Mountain - Vallecito Reservoir,NF,Bayfield,CO
,38.623,-106.425,MIDQ,Middle Quartz,NF,Monarch,CO
,37.906,-107.39,MILC,Mill Creek - Lake City,BLM,,CO
,37.405,-107.661,MILL,Miller Creek,NF,Bayfield,CO
,38.981,-108.872,MIRK,Miracle Rock,BLM,Glade Park,CO
,37.975,-108.334,MIRA,Miramonte Reservoir - SWA,SFW,,CO
,38.747,-106.432,MIRR,Mirror Lake - Almont,NF,Almont,CO
,40.43,-104.863,MISS,Missile Site Park,CP,Greeley,CO
,37.358,-106.547,MIXL,Mix Lake,NF,Antonito,CO
,39.776,-105.792,MIZP,Mizpah,NF,Empire,CO
,37.065,-106.235,MOGO,Mogote,NF,Antonito,CO
,37.749,-107.683,MOLA,Molas Lake Public Park,CP,Silverton,CO
,39.375,-106.81,MOLL,Mollie B,NF,Basalt,CO
,39.264,-106.353,MOLB,Molly Brown,NF,Leadville,CO
,39.194,-105.344,MOLG,Molly Gulch,NF,Sedalia,CO
,38.516,-106.325,MONA,Monarch Park,NF,Poncha Springs,CO
,37.207,-105.047,MONU,Monument Lake Park,CP,Stonewall,CO
,40.358,-105.6,MORA,Moraine Park,NP,Estes Park,CO
,37.302,-108.42,MORE,Morefield - Mesa Verde National Park,NP,Mancos,CO
,38.86,-106.71,MOSC,Mosca,NF,Almont,CO
,38.714,-106.224,MOUP,Mount Princeton,NF,Nathrop,CO
,40.682,-105.467,MOUK,Mountain Park,NF,Rustic,CO
,38.905,-108.739,MUDS,Mud Springs,BLM,Glade Park,CO
,38.89,-105.164,MUEL,Mueller State Park,SP,Divide,CO
,40.691,-105.431,NARR,Narrows,NF,Rustic,CO
,37.004,-107.418,NAVA,Navajo State Park,SP,Arboles,CO
,38.353,-106.56,NEED,Needle Creek Reservoir,NF,Gunnison,CO
,38.73,-106.758,NORB,North Bank,NF,Almont,CO
,37.394,-107.539,NORC,North Canyon - Vallecito Reservoir,NF,Bayfield,CO
,37.836,-107.139,NORK,North Clear Creek,NF,Creede,CO
,39.638,-102.185,NOCP,North Cove - Bonny Lake State Park,SP,Idalia,CO
,38.016,-105.689,NOCC,North Crestone Creek,NF,Crestone,CO
,40.059,-107.434,NORF,North Fork,NF,Buford,CO
,40.814,-105.71,NORP,North Fork Poudre,NF,Livermore,CO
,38.612,-106.32,NORR,North Fork Reservoir,NF,Salidas,CO
,39.331,-108.702,NORF,North Fruita Desert,BLM,De Beque,CO
,40.553,-105.997,NOMI,North Michigan - State Forest State Park,SP,Walden,CO
,38.586,-107.709,NORM,North Rim - Gunnison National Park,NP,Montrose,CO
,40.796,-103.265,NORT,North Sterling State Park,SP,Sterling,CO
,38.275,-104.78,NORP,Northern Plains - Lake Pueblo State Park,SP,Pueblo,CO
,38.296,-105.269,OAKC,Oak Creek,NF,Canon City,CO
,39.231,-107.789,OAKP,Oak Point - Vega State Park,SP,Collbran,CO
,38.428,-106.143,OHAV,Ohaver Lake,NF,Poncha Springs,CO
,37.377,-107.56,OLDT,Old Timers - Vallecito Reservoir,NF,Bayfield,CO
,40.208,-105.523,OLIV,Olive Ridge,NF,Estes Park,CO
,38.728,-106.759,ONEM,One Mile,NF,Almont,CO
,38.061,-105.107,OPHI,Ophir Creek,NF,Colorado City,CO
,39.349,-105.177,OSPR,Osprey,NF,Woodland Park,CO
,39.32,-105.188,OUZE,Ouzel,NF,Woodland Park,CO
,39.084,-105.105,PAIN,Painted Rocks,NF,Woodland Park,CO
,37.751,-106.765,PALI,Palisade - South Fork,NF,South Fork,CO
,38.547,-106.946,PALI,Palisades Senior RV Park,CP,Gunnison,CO
,38.987,-107.348,PAON,Paonia State Park,SP,Crawford,CO
,37.592,-106.729,PARK,Park Creek - South Fork,NF,South Fork,CO
,39.068,-106.41,PARP,Parry Peak,NF,,CO
,40.079,-105.569,PAWN,Pawnee,NF,Nederland,CO
,40.131,-105.506,PEAC,Peaceful Valley,NF,Nederland,CO
,39.584,-106.071,PEAK,Peak One,NF,Frisco,CO
,40.789,-106.892,PEAR,Pearl Lake State Park,SP,Clark,CO
,37.843,-106.282,PENI,Penitente Canyon,BLM,La Garita,CO
