,Long,Lat,Code,Campground,Type,City,State
,43.493,-74.399,MOFF,Moffitt Beach - DEC,SPR,Speculator,NY
,41.957,-74.691,MONG,Mongaup Pond - DEC,SPR,DeBruce,NY
,42.354,-76.852,MONT,Montour Marina,CP,Montour Falls,NY
,43.227,-73.707,MORE,Moreau Lake State Park,SP,Gansevoort,NY
,41.748,-74.652,MORN,Morningside Park,CP,South Fallsburg,NY
,41.309,-73.569,MOUL,Mountain Lakes Park,CP,North Salem,NY
,41.699,-74.518,MOUN,Mountaindale Park,CP,Mountain Dale,NY
,42.044,-76.734,NEWT,Newtown Battlefield State Park,SP,Elmira,NY
,43.688,-74.982,NICK,Nicks Lake - DEC,SPR,Webb,NY
,42.203,-74.037,NORS,North/South Lake  - DEC,SPR,Haines Falls,NY
,43.187,-74.18,NORT,Northampton Beach - DEC,SPR,Northville,NY
,43.218,-76.109,ONEI,Oneida Shores County Park,CP,Brewereton,NY
,42.71,-77.407,ONTA,Ontario County Park - Gannet Hill,CP,Naples,NY
,42.181,-75.418,OQUA,Oquaga Creek State Park,SP,Bainbridge,NY
,43.885,-73.679,PARA,Paradox Lake - DEC,SPR,Paradox,NY
,42.232,-76.667,PARK,Park Station Rec Area,CP,Erin,NY
,43.403,-75.344,PIXL,Pixley Falls State Park,SP,Boonville,NY
,43.399,-74.582,POIN,Point Comfort - DEC,SPR,Piseco,NY
,44.404,-73.503,POKE,Poke-O-Moonshine - DEC,SPR,Schroon Lake,NY
,43.428,-74.54,POPL,Poplar Point - DEC,SPR,Piseco,NY
,43.838,-73.571,PUTN,Putnam Pond - DEC,SPR,Ticonderoga,NY
,42.097,-78.747,REDH,Red House - Allegany State Park,SP,Salamanca,NY
,44.035,-75.75,REMI,Remington Park RV  Military - Fort Drum,MIL,Fort Drum,NY
,42.398,-76.546,ROBH,Robert H. Treman State Park,SP,Ithaca,NY
,44.986,-74.87,ROBM,Robert Moses State Park,SP,Massena,NY
,43.789,-73.488,ROGE,Rogers Rock - DEC,SPR,Ticonderoga,NY
,44.307,-74.407,ROLL,Rollins Pond - DEC,SPR,Tupper Lake,NY
,41.378,-74.027,ROUN,Round Pond Military,MIL,Cornwall,NY
,41.983,-73.508,RUDD,Rudd Pond - Taconic State Park,SP,Millerton,NY
,43.36,-74.294,SACA,Sacandaga - DEC,SPR,Wells,NY
,42.724,-76.902,SAMP,Sampson State Park,SP,Romulus,NY
,40.888,-72.555,SEAR,Sears Bellows,CP,Hampton Bays,NY
,43.557,-76.204,SELK,Selkirk Shores State Park,SP,Pulaski,NY
,44.043,-73.678,SHAR,Sharp Bridge - DEC,SPR,North Hudson,NY
,42.519,-79.269,SHER,Sheridan Bay Park,CP,Sheridan,NY
,40.842,-72.472,SHIN,Shinnecock East County Park,CP,Southampton,NY
,42.492,-76.886,SMIT,Smith Memorial Park,CP,Hector,NY
,40.803,-72.89,SOUC,Southaven County Park,CP,,NY
,40.803,-72.89,SOUH,Southhaven County Park,CP,,NY
,43.765,-76.196,SOUT,Southwick Beach State Park,SP,Henderson,NY
,42.592,-78.636,SPRA,Sprague Brook Park,CP,Glenwood,NY
,42.995,-74.678,STJO,St. Johnsville Campsite and Marina,CP,St Johnsville,NY
,42.526,-77.697,STON,Stony Brook State Park,SP,Dansville,NY
,42.54,-76.607,TAUG,Taughannock Falls State Park,SP,Trumansburg,NY
,44.494,-73.824,TAYL,Taylor Pond - DEC,SPR,Au Sable Forks,NY
,41.056,-71.901,THEO,Theodore Roosevelt County Park,CP,Montauk,NY
,42.653,-74.046,THOM,Thompsons Lake State Park,SP,East Berne,NY
,42.398,-75.963,UPPL,Upper Lisle,CP,Whitney Point,NY
,43.178,-75.725,VERO,Verona Beach State Park,SP,Verona Beach,NY
,41.255,-73.584,WARD,Ward Pound Ridge Reservation,CP,Katonah,NY
,42.37,-76.881,WATK,Watkins Glen State Park,SP,Watkins Glen,NY
,43.258,-77.46,WEBS,Webster Park,CP,Webster,NY
,44.316,-76.019,WELL,Wellesley Island State Park,SP,Fineview,NY
,43.897,-76.114,WEST,Westcott Beach State Park,SP,Henderson,NY
,43.702,-75.462,WHET,Whetstone Gulf State Park,SP,Lowville,NY
,41.953,-73.724,WILC,Wilcox Memorial Park,CP,Milan,NY
,40.963,-72.805,WILD,Wildwood State Park,SP,Wading River,NY
,44.35,-73.861,WILM,Wilmington Notch - DEC,SPR,Wilmington,NY
,41.537,-74.273,WIND,Winding Hills Park,CP,Montgomery,NY
,42.033,-74.37,WOOD,Woodland Valley - DEC,SPR,Phoenicia,NY
,40.342,-78.78,ADAM,Adams Croyle,UTIL,Summerhill,PA
