,Long,Lat,Code,Campground,Type,City,State
,41.2,-94.437,LAKE,Lake Orient Rec Area,CP,Orient,IA
,43.386,-96.465,LAKE,Lake Pahoja Rec Area,CP,Inwood,IA
,40.683,-91.994,LASU,Lake Sugema County Park,CP,,IA
,40.816,-92.589,LAKW,Lake Wapello State Park,SP,Drakesville,IA
,40.877,-93.504,LAKE,Lakeside Co Park,CP,Humeston,IA
,42.73,-95.388,LARS,Larson Lake Co Park,CP,Aurelia,IA
,41.983,-93.887,LEDG,Ledges State Park,SP,Boone,IA
,41.023,-95.23,LEGI,Legion City Park,CP,Red Oak,IA
,40.715,-92.886,LELA,Lelah Bradley Park,CP,Centerville,IA
,41.687,-94.57,LENO,Lenon Mill Co Park,CP,Panora,IA
,42.027,-96.162,LEWI,Lewis and Clark State Park,SP,Onawa,IA
,43.466,-92.279,LIDT,Lidtke Park,CP,Lime Springs,IA
,43.184,-93.194,LIMC,Lime Creek Conservation Area - Mason City,CP,Mason City,IA
,42.327,-91.981,LIMP,Lime Creek Park - Brandon,CP,Brandon,IA
,41.725,-91.543,LIND,Linder Point - Coralville Lake,COE,Iowa City,IA
,42.979,-93.196,LINN,Linn Grove County Park,CP,Rockwell,IA
,42.895,-95.246,LINN,Linn Grove Dam Co Park,CP,Linn Grove,IA
,40.768,-93.778,LITT,Little River Rec Area,CP,Leon,IA
,42.45,-95.801,LITS,Little Sioux Park,CP,Correctionvill,IA
,42.277,-93.639,LITW,Little Wall Lake County Park,CP,Jewell,IA
,41.556,-94.785,LITT,Littlefield Rec Area,CP,Exira,IA
,43.176,-94.891,LOST,Lost Island Huston Park,CP,Ruthven,IA
,42.867,-94.202,LOTT,Lotts Creek Co Park,CP,Dakota City,IA
,41.278,-91.356,LOUI,Louisa County Fairgrounds,CP,Columbus Junct,IA
,40.755,-91.258,LOWA,Lower Augusta Skunk River Access,CP,Augusta,IA
,41.318,-95.386,LYON,Lyons Park,CP,Oakland,IA
,41.051,-91.736,MACC,Mac Coon Access,CP,Lockridge,IA
,42.663,-93.232,MALL,Mallory Co Park,CP,Hampton,IA
,41.239,-92.108,MANH,Manhattan Bridge Access,CP,Ollie,IA
,41.855,-95.462,MANT,Manteno Co Park,CP,Defiance,IA
,42.168,-95.787,MAPL,Mapleton City,CP,Mapleton,IA
,42.119,-90.775,MAQU,Maquoketa Caves State Park,SP,Maquoketa,IA
,43.469,-95.125,MARB,Marble Beach State Rec Area,SRA,Spirit Lake,IA
,43.158,-93.183,MARG,Margaret Macnider City Park,CP,Mason City,IA
,41.316,-93.119,MARI,Marion County Park,CP,Knoxville,IA
,41.782,-92.963,MARI,Mariposa Co Park,CP,Newton,IA
,40.818,-94.349,MARL,Marlin Fogle Rec Area,CP,Diagonal,IA
,41.287,-91.579,MARR,Marr Park,CP,Ainsworth,IA
,42.851,-95.472,MART,Martin Area County Park,CP,Larrabee,IA
,42.43,-90.587,MASS,Massey Marina,CP,Dubuque,IA
,42.132,-91.382,MATS,Matsell Bridge Natural Area,CP,Central City,IA
