,State
1961,WA
1962,WA
1963,WA
1964,WA
1965,WA
1966,WA
1967,WA
1968,WA
1969,WA
1970,WA
1971,WA
1972,WA
1973,WA
1974,WA
1975,WA
1976,WA
1977,WA
1978,WA
1979,WA
1980,WA
1981,WA
1982,WA
1983,WA
1984,WA
1985,WA
1986,WA
1987,WA
1988,WA
1989,WA
1990,WA
1991,WA
1992,WA
1993,WA
1994,WA
1995,WA
1996,WA
1997,WA
1998,WA
1999,WA
2000,WA
2001,WA
2002,WI
2003,WI
2004,WI
2005,WI
2006,WI
2007,WI
2008,WI
2009,WI
2010,WI
2011,WI
2012,WI
2013,WI
2014,WI
2015,WI
2016,WI
2017,WI
2018,WI
2019,WI
2020,WI
2021,WI
2022,WI
2023,WI
2024,WI
2025,WI
2026,WI
2027,MI
2028,WI
2029,WI
2030,WI
2031,WI
2032,WV
2033,WV
2034,WV
2035,WV
2036,WV
2037,WV
2038,WV
2039,WV
2040,WV
2041,OH
2042,WV
2043,WV
2044,WV
2045,WV
2046,WV
2047,WV
2048,WV
2049,MD
2050,WV
2051,WV
2052,VA
2053,WV
2054,WV
2055,WV
2056,WV
2057,WV
2058,WV
2059,WV
2060,WV
2061,WV
2062,WV
2063,WV
2064,WV
2065,VA
2066,WV
2068,WV
2069,WV
2070,WV
2071,WV
2072,WV
2073,WV
2074,WV
2075,WV
2076,WV
2077,WV
2078,WV
2079,VA
2080,WV
2081,WV
2082,WV
2083,WY
2084,WY
2085,WY
2086,WY
2087,MT
2088,MT
2089,WY
2090,UT
2091,WY
2092,WY
2094,AK
2095,AK
2096,AK
2097,AL
2098,AL
2099,AL
2100,AL
2101,AL
2102,AL
2103,AL
2104,AL
2105,AL
2106,AL
2107,AL
2108,AL
2109,AL
2110,AL
2111,AL
2112,AL
2113,AL
2114,AL
2115,AL
2116,AL
2117,AL
2118,AL
2119,AL
2120,AL
2121,AL
2122,GA
2123,AL
2124,AL
2125,AR
2126,AR
2127,AR
2128,AR
2129,AR
2130,AR
2131,AR
2132,AR
2133,AR
2134,AR
2135,AR
2136,AR
2137,AR
2138,AR
2139,AR
2140,AR
2141,AR
2142,AR
2143,AR
2144,AR
2145,AR
2146,AR
2147,AR
2148,AR
2149,AR
2150,AR
2151,AR
2152,AZ
2153,AZ
2154,AZ
2155,AZ
2156,AZ
